stars,comment
4.0 out of 5 stars,"









  
  
    
  So I love it , colour is also awesome. And face recognition is too good, battery is good if will compare it from previous apple phone, but it take much time to charged up the phone.So you can go for it.

  
"
5.0 out of 5 stars,"









  
  
    
  One of the best iPhone at this price.No problem. No heating or bezel issue for a Norma user.Display is very fine and crisp. Not like normal lcd screen. Far more greater quality then other phones which show more resolution in numbers.Sound quality is great.And Apple customer care assistance is what makes them unique.

  
"
4.0 out of 5 stars,"









  
  
    
  Amazon and appario retail did a good job.I received a apple factory sealed package.But I found that the front glass was scratched mildly, running throughout the glass... That was disappointing since this is a factory sealed package , and it's the fault of apple. So Im taking to apple service.Other than that, one can save money by buying 11 instead of having a 12, also 11 has benefits of bigger battery, some what same performance and software, nearly identical camera. But Major difference is 5G and design.

  
"
4.0 out of 5 stars,"









  
  
    
  There is no android phone in the market which could compete this beast. Undoubtedly best for Pubg if you taking this for game or youtubing go for it......if not i think you should switch to oneplus varient.....best thing about this phone is its privacy and gaming screen recorder its just unbelievable.....only cons (charging process is very slowwwwwww it takes 3hrs for 5w charger, 2hrs for 12w charger and 1.5hrs for 18w charger) NO FAST CHARGING the only reason for 4 star😉😉😉

  
"
5.0 out of 5 stars,"









  
  
    
  Phone is premium feels good in hand sound quality is good camera are okay you can record 4 k price is high go for one plus 8 t I use one plus 7t and there is a a little difference between both iphone 11 and OnePlus 7t 258 gb where as my iphone is 128 gb price difference 13 thousand

  
"
1.0 out of 5 stars,"









  
  
    
  Software is not working properlyReceived faulty item, Amazon is selling second hand or second copy of the iPhone 11 phoneSuggest people don't go for online shopping from Amazon.. they are attracting you in the name of discount but selling old and used phones

  
"
5.0 out of 5 stars,"









  
  
    
  ordered this product on amazon big billion day sale. the product packaging was very good and the product is 100 percent genuine as one can see on apple id when the product got registered and got full 1 year warranty. the phone is very fst and the software experience is very fluid. got this phoneat rs 44k. the best deal i can get on iphone. one looking to purchase iphone can surely put money on this. tough at this price factor one can get android with much more features. but if u want a unique experience then apple is the way to go

  
"
4.0 out of 5 stars,"









  
  
    
  Awesome body and look. Weight is little heavy. No 5g support,No finger print sensor, no fast charger,no case inside box, best new was e sim support we can use as secondary sim I.e dual sim support in others words if we say, battery life is ok, over all 4 out of 5. Best experience I would have given 5 out of 5, if it supports 5g.

  
"
3.0 out of 5 stars,"









  
  
    
  1. Camera is great2. Display quality is below average for watching content. Youtube, facebook and instagram videos look blurry all the time. If u  r coming from nokia 1100 only then u may like this display.3. Gaming performance is awesome.4. It has one day battery. Does not matter how intense user you are.5. Camera quality is also great.In simple words this smartphone is good for content creation becoz of its camera but worst for content watching on social media. Mark my words. Poor display.

  
"
2.0 out of 5 stars,"









  
  
    
  I am writing this review after using it for a month.Performance is excellent and the camera too.Little disappointed with slow charging as it comes only with 5 wt adapterBut now i am facing bottom speaker problem and its a very big problem for me as it stopped working and at this price point this should not have happened as from my point of view.

  
"
5.0 out of 5 stars,"









  
  
    
  📱  are best always, its expensive but total worth it once you use , camera, speed, screen, and many more just like human applications which gives you amazing experience in daily use... special phone speakers 🔊 are terrific, 😃👍...

  
"
5.0 out of 5 stars,"









  
  
    
  Great product (which was indeed expected) as Apple always delivers the best.Switched from iPhone 6 and this has been the perfect switch.. Great battery life with such faster face recognition. And you won’t find a better camera in the market than this (specially the night mode)But thanks to Amazon for delivering the product without any issues. I’m saying this because I ordered the phone at 10pm and it was delivered the next day at 9:30am which was completely unexpected in these lockdown days.

  
"
5.0 out of 5 stars,"









  
  
    
  I’m absolutely in love with this phone, this is my first ever iPhone and everything about it is amazing, the battery lasts me all day even with heavy usage. The camera quality is superb!If it fits in your budget and then go for it without even a second thought! Loveeee it ❤️

  
"
5.0 out of 5 stars,"









  
  
    
  Purchased this during amazon great Indian festival sale, costed me around 45500I was little sceptical about smartphone online but amazon is trustworthy so i placed my order.It was a steal deal for me!Loved it! It was delivered in 2 days

  
"
4.0 out of 5 stars,"









  
  
    
  Mobile is superBut I will book on date 06/08/2020I will  Received mobile 19/08/2020My Account Amzon prime

  
"
5.0 out of 5 stars,"









  
  
    
  Using my device for last 20 days and it’s been a great experience. I switched from Android to iOS and it seems to be a good decision now. Battery, Camera and Performance all are excellent. Display is not so great when compared Oled display in 11pro but still it is better than many Android phones available in market. Face recognition is superfast in any light condition. Only thing that irritates here is 5W slow charger but it keeps your battery health better anyways in hurry situations I’ve to use 12W charger(bought separately). At the end I’m super happy with my phone.

  
"
5.0 out of 5 stars,"









  
  
    
  Its been a month i am using this phone i.e the iphone 11 which i ordered from amazon and got the delivery by 14th of july. Since then, i have never faced any issue regarding this piece. Except the charger issue it must have been a rapid charger instead of this 5 watt charger its still ok it takes 4-5 hours to charge completely.

  
"
4.0 out of 5 stars,"









  
  
    
  Its obvious how amazing this product is otherwise you wouldn't be here reading this review. I would like to shed some light on how amazing Amazon is. I got the product 24 hours in advance in perfect condition during heavy monsoon season. Amazon really surprised me and did an amazing job! No issues with the product. Kindly read all return and refund policies before ordering. Amazon is really transparent and all the information you need is in this page. So read intently and hopefully you won't have any further questions. Just add to cart and don't think too much!

  
"
5.0 out of 5 stars,"









  
  
    
  Well the phone is very good.The colour i expected is far more better than my expectation.But i have faced a problem with the adapter. That is,it stop working after 2 weeks.I don’t know the problem behind it.It suddenly stops working and so i have to buy another charger again.Without that the phone is awesome.Good system,good camera as expected from apple.Overall good phone and i recommend to people who are huge fan of apple brand.

  
"
5.0 out of 5 stars,"









  
  
    
   I was using iPhone 6s and I needed a upgrade so I decided to buy iPhone11 and its really awesome phone with the fastest face unlockSound quality is way too much better than the other iPhonesCamera is the best and it is way ahead of all the smartphones except iPhone 11 Pro and pro maxIf you are thinking of getting one , go for it you won’t regret it 🤩🤩Apple products are always better than any otherI have added a sample video shot from this phoneDo have a look at it

  
"
4.0 out of 5 stars,"









  
  
    
  Battery is defectiveAfter charging 100per the battery percentage drops into zero(0)From nowdays I will never trust Amazon .....It's not a single penny it's about 48kFor common person it's huge amountAnd no one will not accept such defective items.Meanwhile I tried to return but AmazonDirectly said talk to appleIs that fair ?@AMAZONI can say loudly that Flipkart is far better than Amazon I know theirs item price is high but atleast they care after being delivered

  
"
5.0 out of 5 stars,"









  
  
    
  This is phone is amazing!Face ID : responsive and super save!!Camera: It’s the best feature of this phone! Really good camera.Display: it’s still good! When compared to a one plus 7 and 8. It’s just brighter but it’s not sharperIf you want the best display in the game go for 11 pro.I have no complaints on this

  
"
5.0 out of 5 stars,"









  
  
    
  The iPhone 11 delivers the charm of an iPhone. Right from the face recognition, battery life....the performance is top notch..Bought it for 62K and value for money.The above photo was taken in night mode only with the light from a covered oil lamp

  
"
5.0 out of 5 stars,"









  
  
    
  My second iPhone. Got at a decent price. This is literally a premium product.Pros: Best front camera.6.1”Liquid retina display.A13 bionic chip.Cons: picture quality drops while using wide angle camera.glass back has high chance for breakage if droppedPS: Don’t go for this product by attraction! can get any iphone at budget level for daily normal usage unless you are rich! best for productivity and high performance viz. Video editing, High end Games etc.

  
"
5.0 out of 5 stars,"









  
  
    
  we can't save song in iphone like a android phone.

  
"
4.0 out of 5 stars,"









  
  
    
  Button placements were wrong and best place for power button is top (like previous versions) only. Now they kept like Android phones and whenever I want to increase volumes it takes screen shot. The phone also looks average and most of the time I mistook my wife android phone as my phone. Not very happy with iPhone11

  
"
4.0 out of 5 stars,"









  
  
    
  Got a July 2020 make, assembled in China, 128gb black variant with accessories and phone box including outer seal intact. Overall happy with the purchase. I am giving a 4 star because of the packaging. The box piece was delivered within a loose amazon packet which could easily damage the product while in transit. Appario should really put an eye on shipping and handling as we are paying a fair amount for the phone.Other than that everything looks good.

  
"
5.0 out of 5 stars,"









  
  
    
  First time Iphone user, experience with Amazon is just awsome. Battery life 4/5, display 4/5, Camera 5/5, Speakers 5/5, Charger 1/5, Earphones 4/5, Performance 5/5, Face unlock 5/5, looks 5/5.Dual sim(esim) esim just a failure, bcz if you try to use dual sim option, esim always plays tricks with you like it goes offline & shows NO SERVICE, at the end of the day Iphone is just for single SIM..!🤣🤦🏻‍♂️

  
"
1.0 out of 5 stars,"









  
  
    
  Received a defective piece. There’s no option to replace. Apple store is 250kms away from my address.

  
"
5.0 out of 5 stars,"









  
  
    
  I am using the I phone 6s for the last 5 years. But this 11 is awesome for its clarity, very sensitive touch screen, sound system and photography. Size is more or less same as 6s.

  
"
5.0 out of 5 stars,"









  
  
    
  Everything is same as iPhone xr one camera is extra that is change everything.I dipped my phone in aquarium(water resistant IP68) phone is working perfectly.i am so excited in phone performance.i never used this type of phone.

  
"
5.0 out of 5 stars,"









  
  
    
  Its a really fun device to use and the battery life is quite good however the fun stops when you need to charge it. It just takes too long to charge on the Apple Charger that’s included in the box. The display is really good too, I had used an S8 before coming from OLED, it doesn’t matter the experience is amazing you won’t miss OLED because of this.  Speakers are great, color is awesome! Feels so good without the case i Have to use it without the case. Dual sim is working great too.

  
"
1.0 out of 5 stars,"









  
  
    
  bad

  
"
4.0 out of 5 stars,"









  
  
    
  Everyone talks about the good points like camera, battery or looks. I would focus to the bad points I found. It depends on the buyer who will refer what before investing.1. This phone has no fingerprint scanner.2. The camera app must have some exclusive features.3. The phone migration feature was troublesome for me.

  
"
5.0 out of 5 stars,"









  
  
    
  Really a wonderful product from apple. I'm a new user for apple product and this is my 2nd product after 8 years and price also I got 68600rs after using HDFC credit card. Initially I was afraid to buy from this seller after read some comment's from the site later I think to cancel too but now I'm holding a good product and I'm finally happy with the product

  
"
4.0 out of 5 stars,"









  
  
    
  The iPhone11 is a beast phone i mean the phone perfectly work in every field like the phone is very for Gaming,blogging,for pics and all its give u full security,privacy and protection so iPhone11 is alrounder.... And the most impressive things is the battery capacity of 11 is 3110mAh but it give u more battery life than 5000mAh android phones.... and last thing is Y I give 4star not 5 because iPhone11 comes with 5watt adaptor... comeon Apple we buy 68k phone and u give us 5watt adaptor... that it So my viewpoint is u can buy the best I mean iPhone11...

  
"
4.0 out of 5 stars,"









  
  
    
  Everythin about phn is so good.Only thing that i did not like is the adapter given for charging..It is of 5W only and it take almost 2.5 to 3 hra to charge your phn to 100%.When. You are spending so much amount then we should expect from apple to provide with compatible charger as they are giving in pro and max pro..

  
"
5.0 out of 5 stars,"









  
  
    
  Best battery life.I have upgraded from iPhone 6 to 11.Major performance difference no hang at all.Major difference in battery life too as it drains very slow the device will hold for maximum two days.No heating issuesCamera best

  
"
1.0 out of 5 stars,"









  
  
    
  The retailer  is duping people. I got a dead product which is having motherboard issue. It doesn't switch on, just a dummy. The IMEI in the bill doesn't match with the device. Even the apple care representatives are avoiding us to buy from amazon specially during festive season.Basically the retailers are mixing the dead products  and other products so there is 50-50 chance you might get a dead product.

  
"
1.0 out of 5 stars,"









  
  
    
  Mobile battery getting drain so fast and it's also getting heat

  
"
5.0 out of 5 stars,"









  
  
    
  After Reading so much negative reviews on internet for Appario sell pvt ltd i am afraidBut when I receive the phone everything is fine packaging was genuine and good all stuff goodBest part is I received  assembled in India variant❤️Phone is blazing fastCamera beastBattery backup very goodOnly.  Bad thing is its  5 watt chargerIt take 3 hours to full charge.. Buy in 46749₹ only ❤️❤️My second iphone

  
"
5.0 out of 5 stars,"









  
  
    
  The phone is awesome. The face recognition system is super fast, camera quality is also amazing. I am just disappointed a bit with charging speed . Otherwise the phone is amazing.

  
"
1.0 out of 5 stars,"









  
  
    
  Freaking pathetic when the phone was a defective piece and wanted to replace/refund.. they say contact the apple brand and when I go to them they say they don't have any connection since it was bought from Amazon and when I contacted the Amazon someone names ( TANMAYA) was in touch as customer service agent was trying to toss me around here and there ...and when I ask for a denial letter that Amazon and they claim they aren't responsible for this..

  
"
5.0 out of 5 stars,"









  
  
    
   superb colour.. awesome look... smooth performance...

  
"
4.0 out of 5 stars,"









  
  
    
  My reviews are based on switching from Android to Apple:Cons:1. Switching is too difficult, it took hell lot of time to fully recover data (Move to IOS app was used)2. Not All data got copied3.Apple Customer Service was not great4. Samsung S10 is sleek, having 3 cameras, bigger battery.5. This is heavier & thicker than Samsung S106. No fast charging

  
"
1.0 out of 5 stars,"









  
  
    
  i had applied for replacement of the same but no response for the same even though it was abt to be replaced on july 21. Now repacement window is also closed. No contact details also to complain

  
"
5.0 out of 5 stars,"









  
  
    
  This is by far the next excellent iPhone after 6s. I have users 6s for 4 years. And it’s still working fine.From 5c to 6s to 11 — it’s been a great joyiPhone 11 is big revolutionary product which has a lot of hardware. Don’t worry about the money, it’s with every rupees.

  
"
5.0 out of 5 stars,"









  
  
    
  Worth for each penny ( Thanks to Apple )Battery superCamera ultimateLook wise stylishPerformance goodOver all Excellent

  
"
4.0 out of 5 stars,"









  
  
    
  I shift from android to iOS first time. This product is my first iOS device. This is very amazing and superb device. I received made in India device. I order on amazon, Quick delivery service and genuine product provide by amazon thanks amazon.1. Camera Quality superb2. iOS 13.7 with excellent features3. Battery life is good in comparison of old iPhone model.4. Solid build quality5. Esim working smoothly(I use with two sim)

  
"
1.0 out of 5 stars,"









  
  
    
  Worst ever! Battery health starts to drop within 3 months of usage. Camera for pictures suck when compared to OnePlus or other android phones. Phone gets heated up within 10-15 minutes of talking over calls or internet use. Apple customer care doesn’t do anything but say this is best IPhone ever and everything is good with it.Also, I bought on EMI for 6 months with HDFC credit card with a 5000rs discount but i have to pay the EMI for the full amount gets cut every month.

  
"
5.0 out of 5 stars,"









  
  
    
  Phone is a must buy but the 128 gigs.Display is fab. Even though it’s a LCD. The only down side is that it’s not so bright as an AMOLED.Camera wise it has the best lens. Even the front facing cam provides a wide angle.Upgraded from an iPhone 8 definitely worth the upgrade.Don’t worry about gaming everything is playable in ultra settings.

  
"
5.0 out of 5 stars,"









  
  
    
  This is best phone of the year..Some people spared fake newsThe appario retails private limited.. company... They sold this phone.. phone is genuine and original... Go for it.. all negative review are only they order refabrished phone.. not new phone.. they do not chek any headline and they ordered these phone.. Please chek it and order it it's orginal product

  
"
5.0 out of 5 stars,"









  
  
    
  Phone is quite good. Changed to iphone from oneplus 7. This phone is really nice but I find androids are way more easy to handle and operate. Cameras are best on this device. Audio is good and screen quality is really decent.

  
"
5.0 out of 5 stars,"









  
  
    
  Android user previously, so if you wanna update to iOS just go for this one.Pros--Cameras are just the best-Display is LCD but you’ll not feel that it’s  that good-The haptics give a premium experience overallCons-Battery life could be slightly better

  
"
1.0 out of 5 stars,"









  
  
    
  Worst purchase for such huge amount that was spent. Camera quality is very poor, my galaxy s9 plus is much better than this one. Amazon doesn’t accept return but the options in the app shows return applicable. iPhone claims to have best camera and has large hoardings everywhere but in reality it’s not.Totally regret on this purchase.

  
"
5.0 out of 5 stars,"









  
  
    
  I upgraded from iPhone 6 to iPhone 11 and I am loving the new phone. It's very fast, has a great camera, and is extremely easy to use. The battery life is brilliant! The only thing that could have been better is the face recognition feature. Sometimes the phone doesn't recognize the face and you will need to unlock the phone through some other way. Otherwise, it is an amazing phone!

  
"
5.0 out of 5 stars,"









  
  
    
  iOS is easily the most intuitive piece of software you will ever use. I have used tons of different phones and software and this has hands down taken the least amount of time taken to learn.What's more is that you can use Siri to control the phone and every single app without ever having to touch the phone. The camera has also been improved to take crisper shots. The best part is the automatic night mode which is different from the other phones where you will have to tweak the settings yourself.

  
"
4.0 out of 5 stars,"









  
  
    
  All good but it's a little heavy and thick as Compares to other models. Others are moving to thinner and slicker models dont know why apple going the opposite way. Performance battery and camera all working as expected

  
"
5.0 out of 5 stars,"









  
  
    
  Again after android usage I am back to iPhoneEarlier I was using iPhone 4, 5 and 6 Series for a change I was using android. Now I am back to iPhone (Specially iOS) due to the Performance.As I know Apple’s Performance - No one can do thisAmazon delivery as expected one day before delivered thanks

  
"
4.0 out of 5 stars,"









  
  
    
  Too new to rate. Some of the recent reviews were extremely scary for an Apple product and unfortunate that those customers were given bad products. Took a risk, ordered and told to cancel but Amazon force delivered the product. Opened and checked for defects, none so far.  Made in India, product is authentic! Thankfully not a refurbished phone. Verified the warranty, started using, so far so good. Will try update review periodically for your benefit.

  
"
5.0 out of 5 stars,"









  
  
    
  It is my 2nd IPhone after iPhone 7.The best thing that I have liked is the camera.Battery life is not that much great .Face recognition is super fast.Overall it’s a must buy iPhone if you want to upgrade from any IPhone  predecessor.Apple could have given a better FHD display.

  
"
1.0 out of 5 stars,"









  
  
    
  Do not ,I repeat do not buy iPhone from this retailer. My phone stopped turning on after 2 weeks of purchase . After giving it to the service center it had to be sent to Bangalore where it was replaced and sent back to me again. But I was without my phone for almost a month. My phone is working fine now but all in all it was such a hassle. Never buy an apple product from this  retailer called appario retail pvt ltd.Best to buy it from the store.

  
"
2.0 out of 5 stars,"









  
  
    
  lots of bugs in this mobile .. networks goes while calling , internet not works most of time .. face id is not as good as it should be .. and as i said about network issues , it is only with this hand set .. as one of my friend purchased same phone and he is also facing same issues ..

  
"
3.0 out of 5 stars,"









  
  
    
  I want to return mobile which is ordered on 21st july 2020 and delivered on 26th July, because battery life drains quickly, while charging mobile was heating, didn’t have external memory card, app like true caller were not responding properly, mobile is locked with my own Face ID even it is unlocking with my brother’s face.

  
"
1.0 out of 5 stars,"









  
  
    
  Guys stop buying products from here.  There is definitely some old stock sellings in the name of OFFER. I do not play games. Only YouTube amazon prime FB WA and calling. Charge my device once in 20-24hrs.  Still just in 34 days my battery health dropped by 2 %. Pls buy from genuine store.

  
"
5.0 out of 5 stars,"









  
  
    
  Pros:Battery (lasts for a day with medium to high usage)Wireless chargingBest IPS LCDValue for money.Camera is brilliant. Low light photos turn out to be amazing.Cons:Could have provided OLED display.

  
"
5.0 out of 5 stars,"









  
  
    
  I recieved my order in 2 days. Thanks to Amazon for the swift delivery. I have been using apple for almost 3 years and trust me if you are upgrading from a old iphone then iphone 11 is the best option to go. The camera is the best and the sound quality is super excellent. I am sure that you will fall for the red colour one, maybe thats my preference.

  
"
5.0 out of 5 stars,"









  
  
    
  First time experiencing exchange offer.  It worked very well than expected. The instructions sent by Amazon was great helpful. Product also is very good and it is my first iPhone!!

  
"
5.0 out of 5 stars,"









  
  
    
  Back to basics I moved from android to iPhone after 5 years and no regrets. Absolutely awesome piece of tech from hardware to software all the small details are kept in mind and handled well. Only thing I miss is fast charger that’s it

  
"
5.0 out of 5 stars,"









  
  
    
  I have bought an iPhone for the very first time. The experience is so good. This one is an 128gb variant. If you wanna hesitation free longtime use of the product you should go with the 128 gb variant. The sound quality of this one has the power to rich you in heaven. Actually can’t express the inner feelings about how smooth as well as good it is.

  
"
5.0 out of 5 stars,"









  
  
    
  Needless to say. Very happy with the phone. Using it for a week now. In love with it. Highly recommend.

  
"
5.0 out of 5 stars,"









  
  
    
  Superb and very powerful phone. Great battery ,superb camera, and audio ofcourse with Dolby Atmos. Feel free to buy if your budget is around 70k.. delivery was fast .actually came faster than the expected date.

  
"
5.0 out of 5 stars,"









  
  
    
  Loved everything about this phone. For someone who is really up for a big upgrade and want a seamlessly smooth experience, you can go for it. It's totally worth it. Battery capacity is quite good. I think the greatest con will include slow charger, ohterwise all in all a great experience.

  
"
1.0 out of 5 stars,"









  
  
    
  Amazon is useless .gave me a unsealed iPhone which doesnt work . Strictly not recommending Amazon

  
"
2.0 out of 5 stars,"









  
  
    
  I’m not able to switch on the personal hotspot , it show approach carrier , I approached to network carrier they said everything is fine from their side . I need immediate response in this

  
"
5.0 out of 5 stars,"









  
  
    
  As always iphone is the best, but you have to keep in mind that it's worth 60k , I wouldn't recommend spending any further! Oh And if you want Indian units then you will have to go for either black or white varient! Because I got the green one & it's assembled in Chaina!

  
"
5.0 out of 5 stars,"









  
  
    
  Superb i phone 11 with superb features ...I m loving it...Black colour is the royal one...N offcrse the camera quality is awsme one...Face recognition is too gud..Go for iphone 11. Specially black colour one which i bought from amazon..amazing phone👌👌👌

  
"
4.0 out of 5 stars,"









  
  
    
  This is my first iPhone and I have been blown away by the performance of this phone. The experience of ios is so rich as compared to android. And once you get used to it you realise how easy and intuitive it is. It’s been 5 days and i am enjoying every moment using this phone. Android might offer more features but when it comes to overall experience, you can’t beat the iPhone. I say go for this phone without any hesitation.

  
"
5.0 out of 5 stars,"









  
  
    
  Bought it for my son for birthday gift. Perfect product. Checked genuineness from the menu and it was original with one year warranty activated with today’s date. Was little worried with few of the reviews about the seller. But very satisfied as bought on Apple days which gave a discount of 5400 /-

  
"
3.0 out of 5 stars,"









  
  
    
  My review after 7 months of use ... battery health at 96%... that is mostly because I use a fast charger now and then else the health would have been at ~98%... yes the phone heats up at load and when plugged even interaction with the phone is hard as the temp go crazy ... never was concerned about the storage as I use cloud ... it’s fine ... will update his post later a year ... I invested in the phone for the long 6+ years S/W support ...

  
"
4.0 out of 5 stars,"









  
  
    
  Early impression: I am simultaneously using galaxy s10e , OnePlus 7t and iPhone 11.Looks- not the best from the front with thick bezel. But the purple colour back looks awesome.Screen- not the best when compared to the 1080 super amoled I have been using. But far better than pen paper specification i.e. 720 lcd.Camera-very good. Better than my other two phones.Performance- my OnePlus 7t is as fast as iPhone 11. However iPhone seems to be more consistent with uniform animation across all the inbuilt and third party app.Battery- better than my other two phones. However,the charging time is really painful after using OnePlus 7t. It takes around 2.30hr to 3 hrs to fully charge with the charger provided in the box.Sound quality- just as you expect from the top flagship.FaceID- the fastest I have used so far in a smartphone.Storage- got around 54GB free space out of the box. After removing few inbuilt apps(watch,garage band etc. )which I am not going to use , I got around 57 GB of free space. It should be enough for a casual user like me.Final vedict- got it at 46250 during the Amazon sale. Feeling better satisfied as compared to my galaxy s10e which I bought it at 51000 a year ago. Keeping android vs iOS comparison aside ,my iphone 11 beat my galaxy s10e in every aspect apart from compact ness and screen.

  
"
5.0 out of 5 stars,"









  
  
    
  I was an iPhone 7 user earlier. I switched to this 11 after my old phone broke. It is a superb experience while using it. Specially when you upgrade from old iPhone to this iPhone 11. The colour purple is awesome. I loved the look and camera quality is much better. Battery life is very well. Only thing is it takes around 2-3 hours to get fully charged. Otherwise best phone in market.

  
"
4.0 out of 5 stars,"









  
  
    
  Apple products are usually very handy to use. This is awesome phone with very good touch in operation and good picture. Bit disappointed with battery backup as it gets exhausts by end of day with limited application running in background. Many new features like in built scanner and full page screen capture is very useful and easy to send and share. Very good Face ID detection.

  
"
5.0 out of 5 stars,"









  
  
    
  iPhone 11 has improved the battery life. For me it goes up one and half day to two days with single charge. Face recognition is really quick and accurate. The best part is if you are sleeping none will have access to your phone by placing your phone in front of your face. Your eyes should be open to unlock your phone. The camera is really awesome. There are few modes which is really great line monochrome mode studio light mode. It gives fabulous effects on your photos

  
"
5.0 out of 5 stars,"









  
  
    
  Amazing!!!!!

  
"
2.0 out of 5 stars,"









  
  
    
  Phone is too good, but fell and broke the display in a week of purchase.Apple care did not agree to change the display and pay 40k n get it replaced.

  
"
5.0 out of 5 stars,"









  
  
    
  iPhone 11 comes with an elegant look and with a great performance. Its Face recognition technology works perfectly and battery performance  is amazing. Amazon has delivered this in one day!!! Thanks to Amazon. Loved this phone very much.

  
"
5.0 out of 5 stars,"









  
  
    
  The battery life is just awesomeDoesn’t have heating issues on overusing.  What I really suggest is to update as soon as you are done with configuring phone.Charger takes way too long to charge but 100% battery can go upto 12hrs of extensive use.

  
"
3.0 out of 5 stars,"









  
  
    
  I received used I phone and no accessories Iphone already Installed glass i am see after shocked and trying to start i phone but Iphone not started after i go near shop after I phone start i am shocked so much no accessories it’s ok but why send used I phone.

  
"
5.0 out of 5 stars,"









  
  
    
   Mind blowing experience both by Amazon and Apple iphone 11

  
"
5.0 out of 5 stars,"









  
  
    
  Received in good condition and it is working great with a great camera.Only a bit less battery backup I think sometimes.Good looks, quick processing, face id is greatOverall it was a great online purchase experience for usThanks amazon

  
"
5.0 out of 5 stars,"









  
  
    
  Iphone 11 disappointed with charger...I decided to buy 12w original apple charger..Go for it....smooth experienceDon't fall under negative commentsI got it for 59990 in prime dayAs for this price..it's value for money phone

  
"
3.0 out of 5 stars,"









  
  
    
  Received damaged phone paint off on the edges of camera...Need help to get it sorted...

  
"
5.0 out of 5 stars,"









  
  
    
  The phone is pure class and performance. Have been using it for a month now and I am pretty satisfied. The camera is excellent, battery life lasts a day easily with average usage. The screen works just fine and there’s no complaints whatsoever. The looks are amazing. The face recognition works great and it’s very secure and accurate. Overall, a great buy

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice phone.must buy it in this price range. Very good quality of camera, long battery life, nice lcd display, face recognition is very very much fast. Only one heating problem will be there but it’s common for all apple brands phone if you use continuously than phone become hot but its also depands on the weather temperature. I suggest you to buy iphone 11 without any problem.

  
"
1.0 out of 5 stars,"









  
  
    
  I used the phone for one n half month suddenly today it got hanged n after few minutes later it was showing complete black screenI asked apple but they said need to go to store as device is dead during Covid -19 and they can't detect the reason.When I asked Amazon they asked to contact dealer.. it's going round n round in a loopNo one here trying to help

  
"
5.0 out of 5 stars,"









  
  
    
  Everything was perfectly amazing from the delivery of the product in a secure package to the fast delivery and proper packaging.About the product it doesn’t seems right to comment on that as it’s an iPhone and you all might be aware of that. But I would like to assure you just one thing that the product is genuine.

  
"
5.0 out of 5 stars,"









  
  
    
  Excluding the negetives( no Amoled , no 1080p display and thick border) is the best phone in price point.Awesome speedAwesome cameraAwesome fluidic gesturesAwesome battery  backupSplendid facial recognitionGo for it. You Will not regret a bit

  
"
5.0 out of 5 stars,"









  
  
    
  It’s an amazing phone. Indeed the Best Buy ever you can expect.Considering an android user, you will be much more happy being an iOS user 😃

  
"
4.0 out of 5 stars,"









  
  
    
  5 star for AmazonFor Apple it’s a good upgradeCamera is goodBattery not that greatHandyAnd yes charger quality is very bad you need to purchase a new one very soon

  
"
5.0 out of 5 stars,"









  
  
    
  Got this at Great Indian Festival, top class phone with ios14 update already, great camera, performance lag free , battery life way good than even android phones with 5000mah batteries .

  
"
3.0 out of 5 stars,"









  
  
    
  I don’t know why this costlier phone doesn’t have finger print, and he Face ID is not so secure it will recognise your face even when you close you eyes thats big drawback. Like in one plus it will not unlock phone when you are sleeping it needs open eyes, but not in iPhone ,this costlier phone must have high security.iPhone needs to fix this in next update.

  
"
5.0 out of 5 stars,"









  
  
    
  Well it's an iPhone and I am not a tech reviewer. For that checkout MKBHD. The phone charges pathetically slow... I might have to pick up a quick charger separately.

  
"
5.0 out of 5 stars,"









  
  
    
   The phone delivered to me was in perfect mint condition and no problem with the delivery or service. Authentic product at affordable price ❤

  
"
4.0 out of 5 stars,"









  
  
    
  product is nice but in case of money u have to get super amoled screen and bluetooth earphone and 5w charger is disgusting shame on u apple

  
"
5.0 out of 5 stars,"









  
  
    
  I love the service but just scared a bit, the phone is have some issues and couldn’t figure out that is it the phone or the app that caused the minor issue.Taking too long to charge that is one negative point. But battery back up is really great.Sometimes observer connection issue with Boss sound sport and never had those issue when used with I phone 7.

  
"
5.0 out of 5 stars,"









  
  
    
  Best product and value for money

  
"
5.0 out of 5 stars,"









  
  
    
  Having used iPhone already was not much excited when I ordered this. But when I got it in hand and started using it it was a pleasant surprise. A great package of software inside a great phone. Apple did it once again.

  
"
5.0 out of 5 stars,"









  
  
    
  Product was delivered in just 1 day😍 and received which was made in India 🇮🇳 awesome phone💯

  
"
1.0 out of 5 stars,"









  
  
    
  has permanent manufacturing defect with the display screen

  
"
5.0 out of 5 stars,"









  
  
    
  Pros -Great camera with night modePowerful processorIP68 ratingBatter backupCons-5w chargerNo 3.5 mm jack

  
"
5.0 out of 5 stars,"









  
  
    
  Very gud camera quality and battery life is very gud.  White color is very  Attractive  Persnly i love it

  
"
5.0 out of 5 stars,"









  
  
    
  Switched from iPhone 7.. Trust me with this price range this is best offering from Apple.Camera: 5/5Processor: 5/5Battery: 4/5Screen:4/5Best thing about iPhone is that you keep getting updates even after 3-4  years, which is still a worry for some flagship Android phone.

  
"
